ProjectName,ProjectNumber,Region,RegionName,DivName,DivNum,PLMProject,PNList
CEG-AA: Fixtures,573,4,US (Ann Arbor),CEG-AA,31,RAP AA Dev Eng,TRUE
CEG-AA: Mechatronics,497,4,US (Ann Arbor),CEG-AA,31,RAP AA Dev Eng,TRUE
CEG-AA: Vacuum,500,4,US (Ann Arbor),CEG-AA,31,RAP AA Dev Eng,TRUE
CTO-SGP: (Internal) CFE Projects,534,2,Singapore,CTO-SGP,14,CTO - Engineering,TRUE
CTO-SGP: (Internal) Laser Projects,532,2,Singapore,CTO-SGP,14,CTO - Engineering,TRUE
CTO-SGP: (Internal) MISC Research Projects,536,2,Singapore,CTO-SGP,14,CTO - Engineering,TRUE
CTO-SGP: (Internal) Plasma Projects,533,2,Singapore,CTO-SGP,14,CTO - Engineering,TRUE
CTO-SGP: (Internal) Sensor & Camera Projects,535,2,Singapore,CTO-SGP,14,CTO - Engineering,TRUE
CTO-US: Falcon,370,1,US,CTO-US,15,SCM WIN Denali,TRUE
CTO-US: Panther,334,1,US,CTO-US,15,Spares Mfg - RAP-3888,TRUE
FAST: 2/4MM BOW,554,1,US,FAST,6,KTI Viking-4002,TRUE
FAST: Cayman,378,1,US,FAST,6,KTI Viking-4002,TRUE
FAST: F10,224,1,US,FAST,6,KTI Viking-4002,TRUE
FAST: F20,362,1,US,FAST,6,KTI Viking-4002,TRUE
FAST: F30,441,1,US,FAST,6,KTI Viking-4002,TRUE
FAST: FFC,555,1,US,FAST,6,KTI Viking-4002,TRUE
FAST: LSP3,391,1,US,FAST,6,KTI Viking-4002,TRUE
FAST: Panel,585,1,US,FAST,6,KTI Viking-4002,TRUE
FAST: Reventon,461,1,US,FAST,6,KTI Viking-4002,TRUE
FAST: SO2,424,1,US,FAST,6,KTI Viking-4002,TRUE
FAST: SS007,518,1,US,FAST,6,KTI Viking-4002,TRUE
FAST: SXR1,237,1,US,FAST,6,KTI AXION T2000-4004,TRUE
FAST: T2500,444,1,US,FAST,6,KTI AXION T2000-4004,TRUE
FAST: Viking - High Bow Option,392,1,US,FAST,6,KTI Viking-4002,TRUE
FAST: Viking - SS11K,158,1,US,FAST,6,KTI Viking-4002,TRUE
FAST: Viking - SS12K,307,1,US,FAST,6,KTI Viking-4002,TRUE
FAST: Viking - SS15K,629,1,US,FAST,6,KTI Viking-4002,TRUE
GSS-E-SGP: Eagle-Puma,552,2,Singapore,GSS-E-SGP,20,Spares Mfg - WIN-3888,TRUE
GSS-E-SGP: Eagle-SP2,551,2,Singapore,GSS-E-SGP,20,Spares Mfg - SFS-3888,TRUE
GSS-E-SGP: Panther,398,2,Singapore,GSS-E-SGP,20,Spares Mfg - RAP-3888,TRUE
GSS-E-US: Panther,363,1,US,GSS Eng,8,Spares Mfg - RAP-3888,TRUE
KTG Swift: CIRCL Sustaining (2001),449,2,Singapore,KTS,11,MIE,TRUE
KTS LS: 9990 - Camera (1001),606,2,Singapore,KTS,11,WIN Cayman,TRUE
KTS LS: 9990 BE - Optics (SCM),558,2,Singapore,KTS,11,SCM WIN Cayman,TRUE
KTS LS: 9990 FE - Frame/Stage/Racks,559,2,Singapore,KTS,11,SCM WIN Cayman,TRUE
KTS LS: 9995 BE - Optics,612,2,Singapore,KTS,11,SCM WIN Cayman,TRUE
KTS LS: 9995 FE - Frame/Stage/Racks,613,2,Singapore,KTS,11,SCM WIN Cayman,TRUE
KTS LS: Intrepid BE - Optics/oFrame/External Cbls,599,2,Singapore,KTS,11,SCM WIN LS 10XX,TRUE
KTS LS: Intrepid FE - iFrame/Stage/Racks,600,2,Singapore,KTS,11,SCM WIN LS 10XX,TRUE
KTS LS: Puma Lynx BE - Optics (SCM),513,2,Singapore,KTS,11,SCM WIN Cayman,TRUE
KTS LS: Puma Lynx FE - Frame/Stage/Racks,468,2,Singapore,KTS,11,SCM WIN Cayman,TRUE
KTS Swift: 8950 (3008),524,2,Singapore,KTS,11,SCM Altair,TRUE
KTS Swift: 8970 (3008),308,2,Singapore,KTS,11,SCM Altair,TRUE
KTS Swift: Altair Sustaining (3008),250,2,Singapore,KTS,11,SCM Altair,TRUE
KTS Swift: CIRCL / Features (3008),427,2,Singapore,KTS,11,SCM Altair,TRUE
KTS Swift: Kronos-IR,618,2,Singapore,KTS,11,SCM Altair,TRUE
KTS Swift: Panel Edge Inspect,617,2,Singapore,KTS,11,SCM Altair,TRUE
LS: 9980 BE - Optics (SCM),134,1,US,LS,5,SCM WIN Cayman,TRUE
LS: 9980 FE - Frame/Stage/Racks (SCM),135,1,US,LS,5,SCM WIN Cayman,TRUE
LS: 9990 BE - Optics (SCM),203,1,US,LS,5,SCM WIN Cayman,TRUE
LS: 9990 FE - Frame/Stage/Racks (SCM),204,1,US,LS,5,SCM WIN Cayman,TRUE
LS: 9995 BE - Optics,609,1,US,LS,5,SCM WIN Cayman,TRUE
LS: 9995 FE - Frame/Stage/Racks,610,1,US,LS,5,SCM WIN Cayman,TRUE
LS: 999x - Camera (1001),517,1,US,LS,5,WIN Cayman,TRUE
LS: Denali BE - Optics (SCM),104,1,US,LS,5,SCM WIN Denali,TRUE
LS: Denali FE - Frame/Stage/Racks (SCM),106,1,US,LS,5,SCM WIN Denali,TRUE
LS: Falcon (SCM),187,1,US,LS,5,SCM WIN Denali,TRUE
LS: Intrepid BE - Optics/oFrame/Extern Cbls,504,1,US,LS,5,SCM WIN LS 10XX,TRUE
LS: Intrepid FE - iFrame/Stage/Racks,505,1,US,LS,5,SCM WIN LS 10XX,TRUE
LS: Puma 880/890 - Camera (1001),176,1,US,LS,5,WIN Cayman,TRUE
LS: Puma 880/890 BE - Optics (SCM),170,1,US,LS,5,SCM WIN Cayman,TRUE
LS: Puma 880/890 FE - Frame/Stage/Racks (SCM),315,1,US,LS,5,SCM WIN Cayman,TRUE
LS: Puma 898 BE- Optics (SCM),342,1,US,LS,5,SCM WIN Cayman,TRUE
LS: Puma 898 FE- Frame/Stage/Racks (SCM),343,1,US,LS,5,SCM WIN Cayman,TRUE
LS: Puma Lynx BE - Optics (SCM),512,1,US,LS,5,SCM WIN Cayman,TRUE
LS: Puma Lynx FE - Frame/Stage/Racks,467,1,US,LS,5,SCM WIN Cayman,TRUE
LS: Voyager 1035 BE - Optics/oFrame/Extern Cbls,345,1,US,LS,5,SCM WIN Denali,TRUE
LS: Voyager 1035 FE - iFrame/Stage/Racks,346,1,US,LS,5,SCM WIN Denali,TRUE
LS: Voyager 1038 BE - Optics/oFrame/Extern Cbls,451,1,US,LS,5,SCM WIN Denali,TRUE
LS: Voyager 1038 FE - iFrame/Stage/Racks,452,1,US,LS,5,SCM WIN Denali,TRUE
LS: Voyager 1039 BE - Optics/oFrame/Extern Cbls,541,1,US,LS,5,SCM WIN Denali,TRUE
LS: Voyager 1039 FE - iFrame/Stage/Racks,542,1,US,LS,5,SCM WIN Denali,TRUE
LS: Voyager 105x BE - Optics/oFrame/Extern Cbls,371,1,US,LS,5,SCM WIN Denali,TRUE
LS: Voyager 105x FE - iFrame/Stage/Racks,181,1,US,LS,5,SCM WIN Denali,TRUE
LS: Voyager 108x BE - Optics/oFrame/Extern Cbls,498,1,US,LS,5,SCM WIN LS 10XX,TRUE
LS: Voyager 108x FE - iFrame/Stage/Racks,499,1,US,LS,5,SCM WIN LS 10XX,TRUE
MACH: SONIC,232,1,US,Rapid,1,MACH - 1004,TRUE
OMD: A800,259,3,Israel,OMD,12,KTI A800-4001,TRUE
OMD: A850,359,3,Israel,OMD,12,KLAI A850 4001,TRUE
OMD: A900,456,3,Israel,OMD,12,KLAI A900 4001,TRUE
OMD: Archer AP,436,3,Israel,OMD,12,KLAI Archer AP 4001,TRUE
OMD: Archer High Topo,431,3,Israel,OMD,12,KTI A700-4001,TRUE
OMD: ATL 200,262,3,Israel,OMD,12,KTI LCM-TL-4001,TRUE
